Name,Type,Rating,Distance_km
Terrace Cafe,cafe,4.1,5.86
Kaizen Café Restaurant & Bar,cafe,4.4,7.15
Café Hendrix | Best Cafe | Continental Chinese North Indian Biryani Kebab,cafe,4.8,12.09
Cafe Gabbar Singh - A Multicuisine Restaurant and Party Place,cafe,4.7,4.96
Dehradun Zoo,tourist attraction,4.2,13.14
Shikhar Falls Rispna tributori,tourist attraction,4.4,15.97
Hidden paradise,tourist attraction,4.2,12.38
Subir Raha Oil Museum,tourist attraction,4.5,7.87
Tapkeshwar Mahadev Mandir,tourist attraction,4.7,10.45
Sahastradhara,tourist attraction,4.3,5.73
Sura Devi Temple,tourist attraction,4.6,12.87
Sahastradhara Ropeway,tourist attraction,4.2,14.14
Vedic Sadhna Ashram Tapovan,tourist attraction,4.3,6.84
Gandhi Park,tourist attraction,4.1,6.32
Khalanga War Memorial,tourist attraction,4.5,8.51
Raja Ji Tiger Reserve,tourist attraction,4.2,7.35
Zonal Anthropological Museum,tourist attraction,4.1,9.56
Kaali Ghati,tourist attraction,4.7,11.79
Jhanda Sahib Talab,tourist attraction,4.7,6.03
Shiv Mandir,tourist attraction,4.6,15.24
Parade Ground,tourist attraction,4.1,5.96
Freedom fighters statue,tourist attraction,4.4,6.22
Regional Science Center (RSC) Dehradun,tourist attraction,4.4,15.31
Mussoorie diversion,tourist attraction,4.5,11.11
Rajaji National Park,tourist attraction,4.3,29.84
Waterfall Maldevta,tourist attraction,4.3,10.12
Fun 'N' Food Kingdom,tourist attraction,3.8,13.06
Tiger Fall,tourist attraction,4.5,50.73
Mindrolling Monastery,tourist attraction,4.6,6.39
FRI Museum Dehradun,tourist attraction,4.6,10.26
MDDA Park,tourist attraction,4,13.48
The Fun Valley,tourist attraction,3.8,18.08
Shring Adventures,tourist attraction,4.8,11.07
Jharipani Waterfall,tourist attraction,4.4,17.48
George Everest House,tourist attraction,4.5,21.07
Sahastradhara Natural Spring,tourist attraction,4.3,14.37
Maldevta Picnic Spot,tourist attraction,4.4,10.38
Anand Van,tourist attraction,4.2,16.39
Largest Dehradun Wall Art by DSA & Smart City honoring Indian Scientists,tourist attraction,4.9,6.23
Indira Market Dehradun,tourist attraction,4,6.14
Ghuchupani chok Anarwala Dehradun,tourist attraction,4.2,10.87
Kedarkantha Trek From Dehradun,tourist attraction,4.3,3.58
Chandrabani Temple,tourist attraction,4.4,7.69
MounTreks - Dil Hai Pahadi,tourist attraction,4.1,5.28
Silviculture Museum,tourist attraction,4.6,10.2
Dinesh Chowk,tourist attraction,3.8,14.56
KALUNGR ( KHALANGA) MEMORIAL,tourist attraction,4.1,7.15
GUCCHUPANI ROBBERS CAVE,tourist attraction,4.3,11.46
Maldevta raipur road,tourist attraction,4.6,5.08
A Big SimbalTree,tourist attraction,4.1,8.55
Clock tower chat wali gali dehradun,tourist attraction,2.7,13.0
Harapul,tourist attraction,3,1.7
Sunset Point,tourist attraction,4.4,6.57
Dehradun Railway Station,tourist attraction,4.3,5.08
Rispana Valley,tourist attraction,3.8,13.59
Sakya Centre Buddhist Monastery,tourist attraction,4.5,12.1
Tea estate (chai bagan),tourist attraction,4.7,8.62
Bahuguna Place,tourist attraction,3.9,4.29
Kali Temple Rajpur Road,tourist attraction,4.3,12.87
APEX TO HIMALAYAS,tourist attraction,4.9,6.12
Shaurya Sthal War Memorial,tourist attraction,4.6,8.75
Tons rivers,tourist attraction,3.6,12.3
Deer Park View point,tourist attraction,4.4,12.96
Roxx Travels Dehradun,tourist attraction,4.8,5.84
FRI Dehradun,museum,4.6,10.12
K Dev Bhoomi Wax Museum,museum,3.7,21.07
SOHAM Himalayan Centre,museum,4.6,19.68
Mussoorie Heritage Centre,museum,4.5,20.46
Pathology Museum,museum,3,10.17
Tribal Research Institute and tribal museumDehradun,museum,4.4,2.19
Uttara Museum of Contemporary Art (UMCA),museum,4.7,6.11
Old Tehri City Model,museum,4.4,8.74
Entomology Museum,museum,4.2,10.08
Saheed Smarak Dehradun,museum,4,5.32
Himalayan Cultural Center Uttarakhand,museum,4.5,10.42
Panchbati  Dr Balbir Singh Sahitya Kendra,museum,4.3,4.15
IISWC Dehradun Museum,museum,4.5,9.23
Satabdi Van Vighyan Kendra Dehradun,museum,0.0,5.92
Auditorium and Museum,museum,3.8,10.43
Aadhvan Art Gallery,museum,3.8,9.89
NWFP Museum,museum,5,10.11
Social Forestry,museum,4.5,10.22
VR GAME,museum,5,6.08
Tanmay HOME,museum,3,7.88
Bhuyiyan Raja Panchayati Mandir,museum,4.7,4.31
Malsi Reserved Forest,park,4.2,12.77
Lachhiwala Nature Park,park,4,10.15
MDDA Park,park,3.7,1.58
Swami Vivekananda Park,park,3.8,11.75
Children's Park,park,4,7.91
OLD NEHRU COLONY PARK,park,4.3,3.5
Lachchhiwala Park,park,4.1,9.74
Fun Park - DDZ,park,4.4,13.11
Sardar Patel Park,park,4.1,6.18
Deer Park Malsi,park,4.2,13.15
Birpur Cantt Park,park,4.5,10.95
City forest Dehradun,park,4.4,11.69
Tea Garden,park,4.3,11.55
Joyland,park,3.8,14.13
Rajpur Road park,park,3.8,9.58
Khalanga Park,park,4.2,7.16
platinum jubilee park,park,4.2,4.0
Shri Rampuram Children's Park,park,3.8,7.18
Katapatthar Water Park,park,4.2,33.21
Rajaji National Park Dehradun,park,4.2,18.87
The Great Arc Park,park,4.2,8.19
Nehru Colony D block Park,park,4.2,3.3
Pt. Deen Dayal Upadyay Park,park,3.7,5.83
Crystal World,park,4.2,42.05
Om city park,park,4.5,4.32
Park Shanti Vihar,park,3.8,2.51
Park vidhya vihar,park,3.9,4.55
Eco Park,park,4.1,24.41
Garhwal Eco Warriors,park,4.6,9.69
Yoga Park Kedarpuram Dehradun,park,0.0,1.72
Chironwali Jal Sanrakhshan Park,park,4.1,8.47
Ekta Park,park,3.8,7.99
Durga Mall Park,park,4.1,9.38
Vijay Park-3,park,4.3,7.86
Type 3 Park,park,3.9,3.75
Ambedkar Park,park,4.8,6.12
Siddharth Vihar park,park,3.6,8.06
Cantonment Board Park,park,4.1,5.49
ONGC Colony park,park,4.4,8.7
Park,park,4.1,8.43
Indira Nagar Park,park,3.9,7.97
Nehru Garden,park,4.5,6.35
IRDE Park,park,5,5.55
Wonderland,park,4.5,4.45
Tilak Park,park,5,10.18
Sailok 2nd Park phase-2,park,4.3,7.17
Ram Vihar Park No1,park,3.9,8.55
Sailok Phase 2 - Park 3,park,4.4,7.24
Defence Colony Park,park,3.9,1.3
Black Pepper Restaurant,restaurant,4.6,6.38
Romeo Lane - DEHRADUN,restaurant,4.6,10.96
Foresta Multi-Cuisine Restaurant,restaurant,4.3,12.81
Karigari Dehradun,restaurant,4.6,8.34
ｓｏｓｏｒｕ - 唆る (Pan Asian Restaurant & Bar),restaurant,4.8,11.18
Orchard,restaurant,4.3,13.35
Pind Balluchi Restaurant & Bar Rajpur Road Dehradun,restaurant,4.7,9.72
Barbeque Nation - Mall Of Dehradun,restaurant,4.9,1.96
Countdown Restaurant Since 1984,restaurant,4.8,6.24
Otium Cookhouse Garden Cafe Restaurant & Bar,restaurant,4.4,11.27
Banaras Fine Dine and Lounge,restaurant,4,8.23
Diablo Dehradun,restaurant,4,12.75
Tipsy Alley – Premium Rooftop Bar & Dining Dehradun,restaurant,4.8,13.09
Qua Restaurant&Bar,restaurant,4.8,7.37
Lucknow Darbaar,restaurant,4.7,10.41
Pind Balluchi Dehradun GMS Road,restaurant,4.7,6.28
SUNSET- Kitchen| Wine| Beer,restaurant,4.1,6.76
Basil Café & Restaurant,restaurant,4.8,5.46
Monsoon,restaurant,4.8,8.27
South Indian Vibes,restaurant,4.7,6.4
Satwah Gourmet Dining,restaurant,4.7,6.35
Walk In Woods,restaurant,4.6,8.77
THE TAWA RESTAURANT,restaurant,4.6,3.79
Mamagoto Dehradun,restaurant,4.2,5.03
Walk In Woods Restaurant,restaurant,4.3,8.26
Uss Da Dhaba,restaurant,4.2,5.35
Salt N Pepper Restaurant,restaurant,4.6,1.35
CHILLIZ RESTRO,restaurant,4.4,3.87
ROYAL BUKHARA,restaurant,4.5,5.38
Patio Terrace,restaurant,4.1,6.83
Anandam,restaurant,4.1,7.06
Desi Chulha,restaurant,4.2,6.34
Dehradun SOCIAL,restaurant,3.8,8.08
Turkish Dastarkhwan Restaurant & cafe Best Arabian Restaurant | Non Veg Restaurant | Restaurant in Dehradun,restaurant,4.5,13.2
The Tavern,restaurant,4.3,6.8
Kalsang Restaurant - Clock Tower,restaurant,4.5,6.19
DHUNGAAR - Family Restaurant Rooftop Live Grill,restaurant,4.6,11.62
Foxtrot,restaurant,4.2,5.01
The Bong Twist,restaurant,4.3,8.36
Haldiram's - Malsi Dehradun,restaurant,4.3,12.89
Barbeque Nation - GMS Road Dehradun,restaurant,4.7,6.75
Kumar Foods - Restaurant & Caterers,restaurant,4,6.28
Barbeque Nation,restaurant,4.5,7.83
Kylin Experience Dehradun,restaurant,4.5,7.97
Doon Sigdi Restaurant,restaurant,4.5,5.67
Brocort Bar & Restaurant in Dehradun,restaurant,4.8,2.99
Garden Cress,restaurant,4.9,7.79
Town Table,restaurant,3.9,7.61
Hyatt Centric Dehradun,hotel,4.3,10.36
Hotel Embassy Dehradun & The Trekkers Hostel,hotel,3.8,5.75
The Hosteller Dehradun,hotel,4.8,7.64
Glenville Forest Resort & Spa,hotel,4.1,5.34
Hyatt Regency Dehradun Resort and Spa,hotel,4.6,13.91
Hotel The Bird Dehradun,hotel,4,2.7
Hotel Samrat Dehradun,hotel,3.6,5.04
Ida Hotel,hotel,4.1,5.0
Comfort Inn Dehradun,hotel,4.3,7.75
Victoria Palace,hotel,4.8,11.83
Hotel Silverwood,hotel,4.5,10.34
Hotel Park View Premium,hotel,4.1,6.37
Hotel JSR INN.,hotel,4,11.9
HOTEL RATAN PALACE,hotel,4.2,7.9
HOTEL SATYA,hotel,3.9,6.58
Clarion Hotel Dehradun | Luxury Hotel Wedding Venues & Banquet Halls,hotel,4.4,13.08
Hotel Kamla Palace,hotel,3.7,6.68
Hotel Heritage,hotel,4,6.45
Hotel Madhuban,hotel,4.1,7.41
Hotel The Prominence - Best Hotels in Dehradun,hotel,4.7,13.33
Riverstone Cottages,hotel,4,13.32
Hotel Selaqui,hotel,4.7,6.44
The Solitaire Express,hotel,4,6.75
Lords Eco Inn Dehradun,hotel,4.6,6.0
Hotel Boulevard,hotel,4.3,6.84
The Royal Tree,hotel,4.3,13.64
Hotel Abhinandan Grand,hotel,3.6,5.53
Duggal Homestay,hotel,4.7,6.59
Pride Premier Solitaire,hotel,4.2,2.3
Hotel Limewood,hotel,4.5,10.23
Hotel Rajpur Heights,hotel,4,14.23
Hotel Aanandan Residency,hotel,3.5,3.55
Hotel Galaxy,hotel,3.9,5.33
Hotel Doon Regency,hotel,4.1,5.35
Effotel By Sayaji Dehradun,hotel,4.2,6.57
Hotel Vasdaa Grand,hotel,4.5,10.7
The Luxe Cottages,hotel,4.8,13.89
Hotel city star,hotel,3.9,5.63
Hotel Kailash Plaza,hotel,4.4,7.13
Ekantam ( Rooms Resto Pool & Party),hotel,4.8,12.67
Red Fox by Lemon Tree Hotels Dehradun,hotel,4.2,8.51
HOTEL DOONS PRIDE - Best Hotel in Dehradun,hotel,4.4,5.48
GOKUL GRAND,hotel,4.1,5.06
Hotel Lemarq,hotel,4.3,6.26
Ramada by Wyndham,hotel,4.2,7.81
Le Amritam,hotel,4.3,5.81
HOTEL SANDSTONE,hotel,3.8,5.86
Clarks Inn Express Dehradun,hotel,4.5,6.67
The Park Residency,hotel,4.2,6.61
Hotel Himalayan,hotel,3.4,6.89
Oxygen HomeStay,hotel,4.4,13.77
Apna Guest House,hotel,4.2,6.01
Hotel Siddharth Residency,hotel,3.7,5.72
Hindwan's farms & resort,hotel,4.3,5.75
Sterling Marbella Dehradun,hotel,4.4,7.6
Hotel Elite Dehradun,hotel,3.7,5.84
Hotel Grand,hotel,4,5.52
The Pearl Grand,hotel,4.1,6.05
Grace Inn Hotel Dehradun,hotel,4.7,2.99
FabExpress Queens Pearl Inn,hotel,3.3,5.97
The Landmark,landmark,4.5,6.81
Doon Landmarks,landmark,4.9,6.67
Balbhadra Khalanga Dwar Nalapani,landmark,4.4,6.97
Raipur Haveli,landmark,4.8,5.17
Dehradun - Delhi Expy 🛣️,landmark,4.3,7.94
Jhandaji Darbar Sahib,landmark,4.6,5.96
Fountain Chowk Deeplok Colony Ballupur Road Dehradun,landmark,4.3,7.54
Birpur chandmari ghangora dehradun uttrakhand,landmark,4.5,11.45
Major TB Rana Chowk,landmark,4,7.66
Kheda Baniyawala Arcadia Grant,landmark,4.1,11.28
Maharana pratap statue,landmark,4.3,5.24
Gusain Chowk,landmark,4.3,13.14
Saheed Jagdamba Prashad Badoni Chowk,landmark,4.7,9.48
GrassFarm Chowk Circle Badowala,landmark,4.1,10.22
Shaheed Rohit Gurung Dwar,landmark,4.4,7.03
Jolly Grant Dehradun Airport Road,landmark,4.4,15.66
Ghanta ghar,landmark,4.4,6.12
Dehradun - Rishikesh - Haridwar Highway,landmark,4.8,2.66
Darshan lal chauk,landmark,4.5,5.94
Buddha Temple,landmark,4.6,6.48
Dehradun - Mussoorie Road,landmark,4.4,15.0
Mallu House (കൊതയാലയം),landmark,5,17.74
Delhi - Dehradun Expy 🛣️,landmark,5,197.91
The Landmark,landmark,5,7.56
Brahma Kamal Rotary Circle,landmark,4.3,7.71
Dehradun sabji mandi tiraha,landmark,4,6.07
Saharanpur chowk ka bada khadda,landmark,4,5.99
Tikaram Chowk,landmark,3.9,3.82
Saklani Chowk,landmark,4.7,3.13
Delhi - Saharanpur - Dehradun Expy 🛣️,landmark,3.6,199.13
Paonta Sahib - Dehradun 4 lane,landmark,4,15.51
Behl Chowk,landmark,4.7,6.96
Water tank Deepnagar,landmark,5,1.91
Lasyal chowk लसियाल चौक,landmark,4,7.16
Sai Chauraha,landmark,5,5.95
Oberoi House The Doon School,landmark,5,7.53
Jaipur House The Doon School,landmark,4,7.28
Doonga Haveli,landmark,4.2,19.12
Amar Shahid Jeet Bahadur Thapa Dwaar,landmark,5,3.46
GEU Santoshanand Library,Library,0.0,0.35
GEU CSIT Building,Building,0.0,0.05
GEU Civil Block,Building,0.0,0.40
GEU Quick Bite,Cafe,0.0,0.45
GEU Mechanical Block,Building,0.0,0.60
GEU Convention Centre,Building,0.0,
GEU Chanakya Block,Building,0.0,0.50
GEU Gate 2,landmark,0.0,0.70
GEU Bus Parking,landmark,0.0,0.65
GEU Girls Hostel,Building,0.0,0.40
GEU Biotech Block,Building,0.0,0.55
GEU Param Computer Centre,Building,0.0,0.37
GEU CSIT through tunnel,Building,0.0,0.38
GEU Btech Block,Building,0.0,0.28
GEU Admission Office,Building,0.0,0.30
GEU International Office,Building,0.0,0.31
GEU Ravi Canteen,Cafe,0.0,0.32
GEU Happiness Cafe,Cafe,0.0,0.315
GEU Gym,Building,0.0,.325
GEU Main Ground,Ground,0.0,0.245
GEU Boys Hostel,Building,0.0,0.28
GEU Paramedical Block,Building,0.0,0.40
